,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
TMMA,ti,85,10,6138,8,99.87,5,99.91,79.50,1,1,0.6000,0.3000,0.4000,6138,9,99.85,6,99.91,91.50,5,1,0.2400,0.6000,0.3417,6138,17,99.73,4,99.94,99.00,6,2,0.3519,0.9500,0.5111
TMMA,ti,87.5,10,6138,8,99.87,5,99.91,79.50,1,1,0.6000,0.3000,0.4000,6138,9,99.85,6,99.91,91.50,5,1,0.2400,0.6000,0.3417,6138,17,99.73,4,99.94,99.00,5,2,0.3769,0.9500,0.5373
TMMA,ti,90,10,6138,8,99.87,5,99.91,79.50,1,1,0.6000,0.3000,0.4000,6138,9,99.85,6,99.91,91.50,5,1,0.2400,0.6000,0.3417,6138,17,99.73,4,99.94,99.00,5,2,0.3769,0.9500,0.5373
TMMA,ti,92.5,10,6138,8,99.87,5,99.91,79.50,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.91,91.50,4,1,0.3083,0.5500,0.3933,6138,17,99.73,4,99.94,99.00,3,2,0.7067,0.9500,0.7938
TMMA,ti,95,10,6138,8,99.87,5,99.91,79.50,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.91,91.50,4,1,0.3083,0.5500,0.3933,6138,17,99.73,4,99.94,99.00,3,2,0.7067,0.9500,0.7938
TMMA,ti,97.5,10,6138,8,99.87,5,99.91,79.50,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.91,91.50,4,1,0.3083,0.5500,0.3933,6138,17,99.73,4,99.94,99.00,3,2,0.7067,0.9500,0.7938
TMMA,ti,100,10,6138,8,99.87,5,99.91,79.50,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.91,91.50,4,1,0.3083,0.5500,0.3933,6138,17,99.73,4,99.94,99.00,3,2,0.7067,0.9500,0.7938
HAILO NPU,hailo,50,10,296,8,97.33,3,99.02,85.00,8,2,0.2718,1.0000,0.4260,296,19,93.48,13,95.57,94.50,19,2,0.1037,1.0000,0.1879,296,22,92.50,9,96.93,94.00,22,1,0.0454,1.0000,0.0868
HAILO NPU,hailo,52.5,10,296,8,97.33,3,99.02,85.00,8,2,0.2718,1.0000,0.4260,296,19,93.48,13,95.57,94.50,19,2,0.1037,1.0000,0.1879,296,22,92.50,9,96.93,94.00,22,1,0.0454,1.0000,0.0868
HAILO NPU,hailo,55,10,296,8,97.33,3,99.02,85.00,8,2,0.2718,1.0000,0.4260,296,19,93.48,13,95.57,94.50,19,2,0.1037,1.0000,0.1879,296,22,92.50,9,96.93,94.00,22,1,0.0454,1.0000,0.0868
