,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
HAILO NPU,hailo,55,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,23,1,0.0445,1.0000,0.0852
HAILO NPU,hailo,57.5,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,23,1,0.0445,1.0000,0.0852
HAILO NPU,hailo,60,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,23,1,0.0445,1.0000,0.0852
HAILO NPU,hailo,62.5,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,65,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,67.5,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,70,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,21,1,0.0476,1.0000,0.0909
HAILO NPU,hailo,72.5,10,296,8,97.30,3,98.99,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,75,10,296,8,97.30,3,98.99,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,77.5,10,296,8,97.30,3,98.99,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,80,10,296,8,97.30,3,98.99,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,82.5,10,296,8,97.30,3,98.99,85.00,2,1,0.5000,0.5000,0.5000,296,19,93.58,14,95.27,95.00,17,2,0.1176,1.0000,0.2105,296,23,92.40,5,98.48,100.00,17,1,0.0588,1.0000,0.1111
HAILO NPU,hailo,85,10,296,8,97.30,3,98.99,85.00,2,1,0.5000,0.5000,0.5000,296,19,93.58,14,95.27,95.00,17,2,0.1176,1.0000,0.2105,296,23,92.40,5,98.48,100.00,17,1,0.0588,1.0000,0.1111
HAILO NPU,hailo,87.5,10,296,8,97.30,3,98.99,85.00,1,1,1.0000,0.5000,0.6667,296,19,93.58,14,95.27,95.00,17,2,0.1176,1.0000,0.2105,296,23,92.40,5,98.48,100.00,15,1,0.0667,1.0000,0.1250
HAILO NPU,hailo,90,10,296,8,97.30,3,98.99,85.00,1,1,1.0000,0.5000,0.6667,296,19,93.58,14,95.27,95.00,17,2,0.1176,1.0000,0.2105,296,23,92.40,5,98.48,100.00,15,1,0.0667,1.0000,0.1250
HAILO NPU,hailo,92.5,10,296,8,97.30,3,98.99,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,95.00,13,1,0.0769,0.5000,0.1333,296,23,92.40,5,98.48,100.00,12,1,0.0801,1.0000,0.1483
HAILO NPU,hailo,95,10,296,8,97.30,3,98.99,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,95.00,13,1,0.0769,0.5000,0.1333,296,23,92.40,5,98.48,100.00,12,1,0.0801,1.0000,0.1483
HAILO NPU,hailo,97.5,10,296,8,97.30,3,98.99,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,95.00,13,1,0.0769,0.5000,0.1333,296,23,92.40,5,98.48,100.00,11,1,0.0833,1.0000,0.1538
HAILO NPU,hailo,100,10,296,8,97.30,3,98.99,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,95.00,13,1,0.0769,0.5000,0.1333,296,23,92.40,5,98.48,100.00,11,1,0.0833,1.0000,0.1538
NVIDIA GPU,nvidia,50,10,7624,29,99.62,14,99.82,80.00,28,2,0.0728,1.0000,0.1356,7624,40,99.48,20,99.75,90.00,40,2,0.0507,1.0000,0.0964,7624,45,99.41,28,99.63,90.00,43,3,0.0698,1.0000,0.1304
NVIDIA GPU,nvidia,52.5,10,7624,29,99.62,14,99.82,80.00,28,2,0.0728,1.0000,0.1356,7624,40,99.48,20,99.75,90.00,40,2,0.0507,1.0000,0.0964,7624,45,99.41,28,99.63,90.00,43,3,0.0698,1.0000,0.1304
NVIDIA GPU,nvidia,55,10,7624,29,99.62,14,99.82,80.00,28,2,0.0728,1.0000,0.1356,7624,40,99.48,20,99.75,90.00,40,2,0.0507,1.0000,0.0964,7624,45,99.41,28,99.63,90.00,43,3,0.0698,1.0000,0.1304
