,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
NVIDIA GPU,nvidia,62.5,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,37,3,0.0789,1.0000,0.1463,7624,44,99.42,27,99.65,90.00,36,3,0.0833,1.0000,0.1538
NVIDIA GPU,nvidia,65,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,37,3,0.0789,1.0000,0.1463,7624,44,99.42,27,99.65,90.00,36,3,0.0833,1.0000,0.1538
NVIDIA GPU,nvidia,67.5,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,37,3,0.0789,1.0000,0.1463,7624,44,99.42,27,99.65,90.00,36,3,0.0833,1.0000,0.1538
NVIDIA GPU,nvidia,70,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,37,3,0.0789,1.0000,0.1463,7624,44,99.42,27,99.65,90.00,36,3,0.0833,1.0000,0.1538
NVIDIA GPU,nvidia,72.5,7624,30,99.61,12,99.84,80.00,13,2,0.1538,1.0000,0.2667,7624,40,99.48,23,99.70,90.00,33,3,0.0882,1.0000,0.1622,7624,44,99.42,27,99.65,90.00,33,3,0.0909,1.0000,0.1667
NVIDIA GPU,nvidia,75,7624,30,99.61,12,99.84,80.00,13,2,0.1538,1.0000,0.2667,7624,40,99.48,23,99.70,90.00,33,3,0.0882,1.0000,0.1622,7624,44,99.42,27,99.65,90.00,33,3,0.0909,1.0000,0.1667
NVIDIA GPU,nvidia,77.5,7624,30,99.61,12,99.84,80.00,13,2,0.1538,1.0000,0.2667,7624,40,99.48,23,99.70,90.00,33,3,0.0882,1.0000,0.1622,7624,44,99.42,27,99.65,90.00,33,3,0.0909,1.0000,0.1667
NVIDIA GPU,nvidia,80,7624,30,99.61,12,99.84,80.00,13,2,0.1538,1.0000,0.2667,7624,40,99.48,23,99.70,90.00,33,3,0.0882,1.0000,0.1622,7624,44,99.42,27,99.65,90.00,33,3,0.0909,1.0000,0.1667
NVIDIA GPU,nvidia,82.5,7624,30,99.61,12,99.84,80.00,3,0,0.0000,0.0000,0.0000,7624,40,99.48,23,99.70,90.00,27,3,0.1071,1.0000,0.1935,7624,44,99.42,27,99.65,90.00,27,3,0.1111,1.0000,0.2000
NVIDIA GPU,nvidia,85,7624,30,99.61,12,99.84,80.00,3,0,0.0000,0.0000,0.0000,7624,40,99.48,23,99.70,90.00,27,3,0.1071,1.0000,0.1935,7624,44,99.42,27,99.65,90.00,27,3,0.1111,1.0000,0.2000
